Level,Tree Type,Player/Weapon/Spell,Attribute Type,Delta Value (float),Flat/PercentAdd/PercentMul,Description,
1,1,Player,MovementSpeed,0.2,PercentAdd,이동 속도 20%p 증가,
2,1,Weapon,ShootingBurstCount,3,Flat,화염구 개수 +3,
3,1,Spell,BurstCount,1,PercentMul,화염구 개수 x2,
1,2,Weapon,ProjectileDamage,0.2,PercentMul,화염구 충돌 데미지 x1.2,
1,2,Weapon,ExplosionDamage,0.2,PercentMul,화염구 폭발 데미지 x1.2,
2,2,Weapon,ProjectileSize,0.2,PercentMul,화염구 크기 x1.2,
3,2,Spell,ProjectileSize,0.2,PercentMul,화염구 크기 x1.2,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
