Level,Attribute Type,Delta Value (float),Flat/PercentAdd/PercentMul,Description,
2,MovementSpeed,0.05,Flat,이동속도 0.01 증가,
3,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
4,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
5,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
6,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
7,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
8,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
9,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
10,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
11,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
12,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
13,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
14,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
15,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
16,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
17,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
18,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
19,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
20,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
21,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
22,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
23,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
24,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
25,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
26,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
27,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
28,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
29,MovementSpeed,0.01,Flat,이동속도 0.01 증가,
30,MovementSpeed,1.01,Flat,이동속도 0.02 증가,
31,MovementSpeed,2.0099999999999998,Flat,이동속도 0.03 증가,
32,MovementSpeed,3.01,Flat,이동속도 0.04 증가,
33,MovementSpeed,4.01,Flat,이동속도 0.05 증가,
34,MovementSpeed,5.01,Flat,이동속도 0.06 증가,
35,MovementSpeed,6.01,Flat,이동속도 0.07 증가,
36,MovementSpeed,7.01,Flat,이동속도 0.08 증가,
37,MovementSpeed,8.01,Flat,이동속도 0.09 증가,
38,MovementSpeed,9.01,Flat,이동속도 0.10 증가,
39,MovementSpeed,10.01,Flat,이동속도 0.11 증가,
40,MovementSpeed,11.01,Flat,이동속도 0.12 증가,
,,,,,
