Attribute Type,Delta Value (float),Delta Mode (operator),Exp Requirement,Description,
MovementSpeed,0.01,Add,5,이동속도 0.01 증가,
MovementSpeed,0.01,Add,10,이동속도 0.01 증가,
MovementSpeed,0.01,Add,15,이동속도 0.01 증가,
MovementSpeed,0.01,Add,20,이동속도 0.01 증가,
MovementSpeed,0.01,Add,25,이동속도 0.01 증가,
MovementSpeed,0.01,Add,30,이동속도 0.01 증가,
MovementSpeed,0.01,Add,35,이동속도 0.01 증가,
MovementSpeed,0.01,Add,40,이동속도 0.01 증가,
MovementSpeed,0.01,Add,45,이동속도 0.01 증가,
MovementSpeed,0.01,Add,50,이동속도 0.01 증가,
MovementSpeed,0.01,Add,55,이동속도 0.01 증가,
MovementSpeed,0.01,Add,60,이동속도 0.01 증가,
MovementSpeed,0.01,Add,65,이동속도 0.01 증가,
MovementSpeed,0.01,Add,70,이동속도 0.01 증가,
MovementSpeed,0.01,Add,75,이동속도 0.01 증가,
MovementSpeed,0.01,Add,80,이동속도 0.01 증가,
MovementSpeed,0.01,Add,85,이동속도 0.01 증가,
MovementSpeed,0.01,Add,90,이동속도 0.01 증가,
MovementSpeed,0.01,Add,95,이동속도 0.01 증가,
MovementSpeed,0.01,Add,100,이동속도 0.01 증가,
MovementSpeed,0.01,Add,105,이동속도 0.01 증가,
